Player,UID,GK,DR,DL,DC,WBR,WBL,DM,MR,ML,MC,AMR,AML,AMC,STC
Rubén Blanco,67156610,12.45,10.41,10.41,10.16,10.22,10.22,10.12,9.91,9.91,10.28,9.72,9.72,10.13,9.32
Andrejs Ciganiks,37075484,11.78,12.01,12.01,11.65,12.06,12.06,11.99,11.95,11.95,12.01,11.99,11.99,11.93,11.42
Luís Rodrigues,2000436535,13.48,13.05,13.05,13.17,12.79,12.79,13.02,12.11,12.11,12.85,12.05,12.05,12.5,11.69
Ricardo Graça,83107071,13.31,13.05,13.05,13.15,12.96,12.96,12.95,12.68,12.68,12.85,12.67,12.67,12.78,12.6
Aarón Martín,67196209,12.87,12.74,12.74,12.37,12.85,12.85,12.65,12.81,12.81,12.59,12.87,12.87,12.56,12.07
Antonio Blanco,67256515,13.74,13.57,13.57,13.4,13.59,13.59,13.52,13.27,13.27,13.55,13.26,13.26,13.44,12.91
Billy Gilmour,61078265,12.86,12.23,12.23,11.6,12.33,12.33,12.55,12.56,12.56,12.85,12.46,12.46,12.83,12.19
Christian Kouamé,43201838,13.27,12.48,12.48,11.61,12.78,12.78,12.16,13.1,13.1,12.74,13.28,13.28,13.33,13.4
Rodrigo Gogna,2000273938,12.77,13.09,13.09,12.57,13.35,13.35,13.35,13.6,13.6,14.0,13.55,13.55,13.9,13.43
Octavian Popescu,57175903,12.6,12.79,12.79,12.21,13.16,13.16,12.73,13.3,13.3,13.17,13.38,13.38,13.34,12.78
Yago Freitas,2000570843,12.38,12.17,12.17,10.97,12.85,12.85,11.98,13.31,13.31,12.78,13.61,13.61,13.4,13.24
Manu Morlanes,67228802,13.15,13.19,13.19,12.97,13.22,13.22,13.44,12.9,12.9,13.38,12.93,12.93,13.3,12.44
Gorka Alarcón,2000194477,11.65,11.79,11.79,10.94,12.34,12.34,11.4,12.65,12.65,12.05,12.88,12.88,12.52,12.35
Sergio Rico,67171745,10.24,8.14,8.14,8.38,7.67,7.67,8.11,7.54,7.54,8.05,7.16,7.16,7.68,7.4
Germán,2000194475,13.17,12.28,12.28,12.56,11.99,11.99,11.78,11.53,11.53,11.59,11.48,11.48,11.57,11.57
Luis Garai,2000681737,11.48,11.3,11.3,10.36,11.73,11.73,10.89,12.14,12.14,11.4,12.5,12.5,11.89,11.59
Ali Tweed,2000432931,13.08,12.2,12.2,12.66,11.67,11.67,11.82,11.15,11.15,11.49,11.15,11.15,11.17,10.97
Dawid Kownacki,96059679,12.35,11.92,11.92,11.41,12.04,12.04,11.71,12.26,12.26,12.15,12.29,12.29,12.31,12.38
Reiss Nelson,28107919,11.52,11.49,11.49,10.46,11.93,11.93,11.48,12.26,12.26,11.99,12.5,12.5,12.32,11.69
Timo Zaal,2000022712,13.12,12.57,12.57,13.22,12.12,12.12,12.03,11.33,11.33,11.39,11.4,11.4,11.28,11.13
Unai Gómez,2000065899,11.88,12.0,12.0,11.54,12.13,12.13,12.34,12.1,12.1,12.76,12.04,12.04,12.61,11.55
Junior Esparragoza,2000179937,13.09,12.22,12.22,12.52,11.83,11.83,11.86,11.04,11.04,11.37,11.11,11.11,11.19,10.81
Emil Bohinen,53126104,12.0,11.99,11.99,11.22,12.38,12.38,12.1,12.79,12.79,12.6,12.77,12.77,12.8,12.17
Pedro Esperancinha,2000437963,13.82,12.45,12.45,12.54,12.07,12.07,11.98,11.4,11.4,11.52,11.52,11.52,11.49,10.92
Nino,2000511282,11.28,11.52,11.52,10.78,11.87,11.87,11.52,12.36,12.36,12.08,12.41,12.41,12.27,12.05
